,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
359,2017Jan19_sqd_000239.mvd2 [2017Jan19_sqd_000239_YFP_syp_dlg_anlagen_ventral_60x_upsidedown],240669,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
360,2017Jan19_sqd_000239.mvd2 [2017Jan19_sqd_000239_YFP_syp_dlg_VNC_ventral_60x_upsidedown],240670,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
361,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_lobe_20x],240673,0.41839539265530395,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
362,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_CB_dorsal_60x],240674,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
363,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_OL_dorsal_60x],240675,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
364,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_anlagen_dorsal_60x],240676,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
365,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_VNC_dorsal_60x],240677,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
366,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_CB_ventral_60x],240678,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
367,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_OL_ventral_60x],240679,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
368,2017Jan19_Stwl_000263.mvd2 [2017Jan19_Stwl_000263_YFP_syp_dlg_VNC_ventral_60x],240680,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
